cbsa_id,n_reviews,name,latitude,longitude
12060,5129103,Atlanta,33.7324018,-84.3928478
12420,2230439,Austin,30.2497437,-97.6498417
14460,2866151,Boston,42.517606,-71.0219925
16740,2345335,Charlotte,35.1663423,-80.7972848
16980,5876597,Chicago,41.75878,-87.8418871
19100,5568892,Dallas,32.8491708,-96.9704894
19740,3092057,Denver,39.434789,-104.9010728
19820,3168043,Detroit,42.7218478,-83.2008463
26420,4566752,Houston,29.8010046,-95.34262
29820,2456012,Las Vegas,36.2141295,-115.0143977
31080,6778871,Los Angeles,34.1087033,-118.1827533
33100,4417642,Miami,26.1018281,-80.4787552
33460,2440748,Minneapolis,45.096664,-93.275361
35620,9703611,New York,40.7354255,-73.80773
36740,3708602,Orlando,28.4343977,-81.3560597
37980,3715726,Philadelphia,39.8949576,-75.3119824
38060,3927223,Phoenix,33.1857653,-112.0678624
38900,2456123,Portland,45.6006221,-122.484378
40140,2431460,Riverside,34.5384763,-116.1345414
41700,2175330,San Antonio,29.4330599,-98.6069734
41740,2308807,San Diego,33.0236041,-116.7761174
41860,3734338,San Francisco,37.7737185,-122.2744317
42660,3696519,Seattle,47.4905518,-121.8339765
45300,3597358,Tampa,28.1205405,-82.525188
47900,4124306,Washington,38.8297866,-77.4956841
